버전,top-1 정확도,Recall@3,Recall@5,MRR,평균 latency(ms)
keyword_search(베이스라인),44.8%,51.7%,51.7%,0.483,1.0
V1(title만) [임베딩 단독],51.7%,72.4%,75.9%,0.624,21.1
V1(title만) [+리랭커],41.4%,69.0%,82.8%,0.579,43.7
V2(title+keywords) [임베딩 단독],72.4%,86.2%,89.7%,0.802,22.1
V2(title+keywords) [+리랭커],51.7%,89.7%,93.1%,0.691,47.0
V3(title+keywords+description) [임베딩 단독],69.0%,89.7%,93.1%,0.790,22.7
V3(title+keywords+description) [+리랭커],69.0%,93.1%,96.6%,0.819,49.1
V4(V3+기사체 표현) [임베딩 단독],65.5%,86.2%,93.1%,0.770,22.4
V4(V3+기사체 표현) [+리랭커],69.0%,93.1%,96.6%,0.819,49.5
