버전,top-1 정확도,Recall@3,Recall@5,MRR,평균 latency(ms)
keyword_search(베이스라인),45.0%,55.0%,55.0%,0.500,0.9
V1(title만) [임베딩 단독],45.0%,60.0%,65.0%,0.529,22.2
V1(title만) [+리랭커],40.0%,70.0%,75.0%,0.560,45.2
V2(title+keywords) [임베딩 단독],65.0%,85.0%,85.0%,0.750,21.8
V2(title+keywords) [+리랭커],50.0%,95.0%,95.0%,0.700,49.3
V3(title+keywords+description) [임베딩 단독],65.0%,90.0%,90.0%,0.758,22.1
V3(title+keywords+description) [+리랭커],70.0%,95.0%,100.0%,0.838,50.5
V4(V3+기사체 표현) [임베딩 단독],60.0%,85.0%,90.0%,0.729,22.0
V4(V3+기사체 표현) [+리랭커],70.0%,95.0%,100.0%,0.838,51.1
